Network Container,Comment,Alignment,Allocation Method,Banner,Building,Block,Country,Delivery Channel,Description,Environment,Location-Suburb,Operational State,Partner,Product Owner,Region,Request Number,Service Owner,Site,Site ID,Site Type,Source Firewall,State,Technical Function,VLAN,VLAN Name,Zone
10.0.80.0/21,Container - QLD Supermarket WAN,Stores,,,,,Australia,,QLD Store WAN,,,Allocated,,,,,,,,,,QLD,WAN,,,
10.0.88.0/24,Container - QLD Supermarket WAN,Stores,,,,,Australia,,QLD Store WAN,,,Allocated,,,,,,,,,,QLD,WAN,,,
10.0.89.0/24,Container - VIC Supermarket WAN,Stores,,,,,Australia,,VIC Store WAN,,,Allocated,,,,,,,,,,VIC,WAN,,,
10.0.90.0/23,Container - VIC Supermarket WAN,Stores,,,,,Australia,,VIC Store WAN,,,Allocated,,,,,,,,,,VIC,WAN,,,
10.0.92.0/22,Container - VIC Supermarket WAN,Stores,,,,,Australia,,VIC Store WAN,,,Allocated,,,,,,,,,,VIC,WAN,,,
10.0.96.0/22,Container - VIC Supermarket WAN,Stores,,,,,Australia,,VIC Store WAN,,,Allocated,,,,,,,,,,VIC,WAN,,,
10.0.100.0/23,Container - VIC Supermarket WAN,Stores,,,,,Australia,,VIC Store WAN,,,Allocated,,,,,,,,,,VIC,WAN,,,
10.0.102.0/24,Container - VIC Supermarket WAN,Stores,,,,,Australia,,VIC Store WAN,,,Allocated,,,,,,,,,,VIC,WAN,,,
10.0.103.0/24,Container - WA Supermarket WAN,Stores,,,,,Australia,,WA Store WAN,,,Allocated,,,,,,,,,,WA,WAN,,,
10.0.104.0/22,Container - WA Supermarket WAN,Stores,,,,,Australia,,WA Store WAN,,,Allocated,,,,,,,,,,WA,WAN,,,
10.0.108.0/22,Container - SA Supermarket WAN,Stores,,,,,Australia,,SA Store WAN,,,Allocated,,,,,,,,,,SA,WAN,,,
10.0.112.0/23,Container - SA Supermarket WAN,Stores,,,,,Australia,,SA Store WAN,,,Allocated,,,,,,,,,,SA,WAN,,,
10.0.116.0/22,Container - ANY Supermarket WAN,Stores,,,,,Australia,,Store WAN - Any State,,,Allocated,,,,,,,,,,ANY,WAN,,,
10.0.136.0/22,Container - BigW WAN,Stores,,BigW,,,Australia,,BigW Store WAN - Any State,,,Allocated,,,,,,,,,,ANY,WAN,,,
10.0.192.0/21,Container - ALH Store WAN,Stores,,ALH,,,Australia,,ALH Stores - WAN - Any State,,,Allocated,,,,,,,,,,ANY,WAN,,,
10.48.196.0/22,E3 NSO Lab (Stores),,,Woolworths,,,Australia,,E3 NSO Lab (Stores),,,Allocated,,,,,,Sydney National DC - Yennora,1944,Distribution Centres,,NSW/ACT,,,,
10.42.12.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,NORWEST STORE LAB - Voice LAB,0,Supermarket,,NSW,LAN,,,
